M4B113_C16,COLD1,qSCT1,qCST10,qPSST6,Dro1,qDTY1.1,qDTY12.1,qDTY2.1,qDTY2.2,qDTY3.1,qDTY3.2,qDTY4.1,TT1,qHTSF4.1,qSIS1L,Saltol,qSOR1,qSub1,qAG3,Pita,qPi33,qXa26,qXa4,BPH17,BPH32,TSV1,STV11,fgr-1,Chalk5,Alk,GS3,NAS3,Hd1,DTH8,Ghd7,Hd2,RFT1,Hd3a,ehd1,GNP1,Gn1a,GFR1,HIS1,TGW6,NGR5,NAL1,SLG7
865,[--],[+p],[--],[--],[+p],[--],[--],,?,?,[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[Het],[Het],[+p],?,[--],[--],[--],[+p],[--],[Het],?,[+p],[--],[+p] IRRI154 deletion,[Het],[--]-Ghd7-2,[+p]-1c,[+p],[Het] [+ Culture340/--],[+p],[--] Het ind1/2,,[+p]-indica,[Het],[--],[Het] - [- haplotypes],[--],[--]-indica
717,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[+p]-Aro,[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
360,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],?,[+p],?,[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[+p] Hap.2,[--],[--]-indica
138,[--],[+p],[--],[--],[+p],[--],[--],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[+p],[+p],[+p],?,[--],[--],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[--]-IR24,[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
145,[--],[+p],[--],[--],[+p],[--],[--],,?,[+p],[+p]-IR64 (intermediate),[--],[--],,[--],[--],[--],[--],[+p],[+p],[+p],[+p],[+p],[+p],[+p],[--],[+p],[--],[+p],[--],[+p],[--],[+p] N22 deletion,[--]-IR24,[--]-Ghd7-2,[--]-IR/[+p]-1b,[+p],[--],[+p],[--]-ind1,,[--]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
487,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[+p],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[+p],,?,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
430,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],?,[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
1136,[--],[+p],[--],[--],[+p],[--],[--],,[--],?,[+p]-IR64 (intermediate),[--],[--],,[--],[+p]-Aus,[--],[--],[+p],[--],[--],[+p],?,[--],[--],[--],[+p],[+p],[--],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[--],[+p],[+p],[--]-ind2,,[+p]-indica,[+p],[--],[+p] Hap.2,[--],[--]-indica
748,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[+p],[--],[+p],[+p],[+p],[--],[+p],[--],[+p],[+p],[+p],[+p]-Alk-3b,[+p],[--],[+p] IRRI154 deletion,[--]-IR24,[+p]-Ghd7-4,[+p]-1c,[+p],[--],[+p],[--]-ind1,,[+p]-indica,[+p],[--],[--] Hap.4/[--] Hap.5/[--] Hap.1,[--],[--]-indica
879,[--],[+p],[--],[--],[+p],[--],[+p],,[--],[--],[--]-Swarna,[--],[--],,[--],[--],[--],[--],[--],[--],[--],[+p],[+p],[--],[--],[--],[+p],[--],[+p],[+p]-Alk-3b,[--]-Medium,[--],[+p] IRRI154 deletion,[+p],[--]-Ghd7-2,[+p]-1c,[+p],[--],[+p],[--] Het ind1/2,,[+p]-indica,[+p],[--],[--] Hap.3,[--],[--]-indica
